show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s0001,TV Show,"Défis Extrêmes: L’Île des défis extrêmes","Directeur Inconnu","Casting Inconnu","Canada","2023-07-01",2007,"TV-PG","5 Seasons","Reality, Adventure","Une émission de défis sur une île mystérieuse."
s0002,TV Show,"Paradise Police","Jared Stern","Andy Samberg, etc.","USA","2020-05-15",2018,"TV-MA","3 Seasons","Animation, Comedy, Adult Animation","Une série animée sur une équipe de police dans une ville déjantée."
s0003,TV Show,"Rick and Morty","Dan Harmon, Justin Roiland","Justin Roiland, Chris Parnell, Spencer Grammer","USA","2013-12-02",2013,"TV-MA","6 Seasons","Animation, Sci-Fi, Comedy","Les aventures interdimensionnelles d'un scientifique fou et de son petit-fils."
s0004,TV Show,"Farzar","Directeur Inconnu","Casting Inconnu","USA","2021-10-01",2021,"TV-MA","1 Season","Animation, Sci-Fi","Une série animée dans un univers futuriste et absurde."
s0005,Movie,"Mulligan","Directeur Inconnu","Casting Inconnu","USA","2022-01-10",2022,"PG-13","95 min","Comedy, Drama","Une comédie dramatique sur la seconde chance en amour."
s0006,Movie,"Bad Exorcist","Directeur Inconnu","Casting Inconnu","USA","2020-09-20",2020,"R","102 min","Horror, Comedy","Un exorciste peu orthodoxe face à des démons personnels."
s0007,TV Show,"Boys Over Flowers","Directeur Inconnu","Casting Inconnu","South Korea","2009-08-05",2009,"TV-14","25 Episodes","Drama, Romance","Une romance dans un univers de privilèges et d'inégalités."
s0008,TV Show,"Clean With Passion For Now: Mini-série","Directeur Inconnu","Casting Inconnu","South Korea","2018-03-15",2018,"TV-MA","1 Season","Romance, Comedy","Une mini-série sur l'obsession de la propreté et ses conséquences décalées."
s0009,TV Show,"Miss Night and Day: Mini-série","Directeur Inconnu","Casting Inconnu","South Korea","2019-06-20",2019,"TV-14","1 Season","Romance, Drama","Une mini-série sur la double vie d'une femme entre le jour et la nuit."
s0010,TV Show,"Dead End : Le parc du paranormal","Directeur Inconnu","Casting Inconnu","France","2022-02-14",2022,"TV-PG","1 Season","Mystery, Thriller","Une série explorant des phénomènes paranormaux dans un parc mystérieux."
s0011,Movie,"Crazy Kung-Fu","Directeur Inconnu","Casting Inconnu","China","2021-07-07",2021,"PG-13","110 min","Action, Comedy","Un film mêlant arts martiaux et humour décalé."
s0012,TV Show,"Resident Alien","Directeur Inconnu","Alan Tudyk, etc.","USA","2021-01-21",2021,"TV-PG","2 Seasons","Sci-Fi, Comedy, Drama","Un extraterrestre se mêlant aux habitants d'une petite ville."
s0013,TV Show,"Adventure Time","Pendleton Ward","Jeremy Shada, John DiMaggio, etc.","USA","2010-04-05",2010,"TV-Y7","10 Seasons","Animation, Adventure, Comedy","Les aventures fantastiques de Finn et de Jake dans le pays d'Ooo."
s0014,TV Show,"Les Zinzins de l'espace","Directeur Inconnu","Casting Inconnu","France","1997-09-19",1997,"TV-Y7","3 Seasons","Animation, Comedy, Sci-Fi","Une série animée humoristique sur des extraterrestres excentriques sur Terre."
s0015,TV Show,"Ghosts : Fantômes à la maison","Directeur Inconnu","Casting Inconnu","UK","2021-03-11",2021,"TV-PG","2 Seasons","Comedy, Fantasy","Une comédie où des fantômes hantent une maison et interagissent avec ses habitants."
s0016,TV Show,"Scooby-Doo! Mystères associés","Directeur Inconnu","Casting Inconnu","USA","2002-09-13",2002,"TV-Y7","4 Seasons","Animation, Mystery, Family","Les aventures de Scooby-Doo et de son équipe dans la résolution de mystères."
s0017,TV Show,"Défis Extrêmes: World Tour","Directeur Inconnu","Casting Inconnu","Canada","2023-08-10",2010,"TV-PG","2 Seasons","Reality, Adventure","Une version internationale de l'émission de défis extrêmes."
s0018,TV Show,"Défis Extrêmes: Revenge of the Island","Directeur Inconnu","Casting Inconnu","Canada","2023-09-05",2011,"TV-PG","2 Seasons","Reality, Adventure","Les participants reviennent pour des défis encore plus périlleux sur une île redoutable."
s0019,TV Show,"Défis Extrêmes: Ciné Défis Extrêmes","Directeur Inconnu","Casting Inconnu","Canada","2023-10-01",2012,"TV-PG","1 Season","Reality, Action","Une édition spéciale combinant défis extrêmes et ambiance cinématographique."
s0020,TV Show,"Défis Extrêmes: All Stars","Directeur Inconnu","Casting Inconnu","Canada","2024-01-15",2013,"TV-PG","1 Season","Reality, Adventure","Les meilleurs participants se réunissent pour des défis hors du commun."
s0021,TV Show,"Défis Extrêmes: The Ridonculous Race","Directeur Inconnu","Casting Inconnu","Canada","2024-02-20",2014,"TV-PG","1 Season","Reality, Adventure","Une compétition effrénée sur plusieurs destinations exotiques."
s0022,TV Show,"Archer","Adam Reed","H. Jon Benjamin, Aisha Tyler, Chris Parnell","USA","2009-01-14",2009,"TV-MA","11 Seasons","Animation, Action, Comedy","Les aventures hilarantes d'un agent secret et de son équipe déjantée."
s0023,TV Show,"Bob l'éponge","Stephen Hillenburg","Tom Kenny, Bill Fagerbakke, Rodger Bumpass","USA","1999-05-01",1999,"TV-Y7","13 Seasons","Animation, Comedy, Family","Les aventures sous-marines d'une éponge optimiste et de ses amis à Bikini Bottom."
s0024,TV Show,"Brooklyn Nine-Nine","Michael Schur, Dan Goor","Andy Samberg, Andre Braugher, Terry Crews","USA","2013-09-17",2013,"TV-14","8 Seasons","Comedy, Crime","Une comédie policière pleine d'humour dans un commissariat de Brooklyn."
s0025,TV Show,"Looney Tunes Show","Directeur Inconnu","Casting Inconnu","USA","2011-05-20",2011,"TV-Y7","2 Seasons","Animation, Comedy, Family","Les personnages classiques des Looney Tunes dans de nouvelles aventures."
s0026,TV Show,"Défis Extrêmes: Pahkitew Island","Directeur Inconnu","Casting Inconnu","Canada","2024-03-10",2015,"TV-PG","1 Season","Reality, Adventure","Une nouvelle aventure dans un décor exotique et sauvage."
s0027,TV Show,"Close Enough","J. C. Moore","Casting Inconnu","USA","2020-07-24",2020,"TV-MA","2 Seasons","Animation, Comedy, Drama","Une série animée qui explore la vie quotidienne d'un couple dans un style irrévérencieux."
s0028,Movie,"Sexy Movie","Directeur Inconnu","Casting Inconnu","USA","2021-11-11",2021,"R","98 min","Comedy, Romance","Une comédie audacieuse mêlant romance et situations absurdes."
s0029,TV Show,"Mr. Queen: Mini-série","Directeur Inconnu","Shin Hye-sun, Kim Jung-hyun","South Korea","2020-02-05",2020,"TV-14","1 Season","Comedy, Historical, Romance","Une mini-série mêlant comédie et histoire avec une protagoniste dans le corps d'une reine."
s0030,TV Show,"Resident Evil (the tv show)","Directeur Inconnu","Casting Inconnu","USA","2022-05-30",2022,"TV-MA","1 Season","Horror, Action, Sci-Fi","Une adaptation télévisée de la célèbre saga de zombies et de survie."
s0031,TV Show,"L'Empire du sourire: Mini-série","Directeur Inconnu","Casting Inconnu","South Korea","2023-01-18",2023,"TV-14","1 Season","Comedy, Drama","Une mini-série sur les défis et mystères d'un empire souriant."
s0032,TV Show,"Captain Fall","Directeur Inconnu","Casting Inconnu","USA","2023-04-12",2022,"TV-MA","1 Season","Comedy, Animation","Les aventures d'un super-héros décalé dans un univers loufoque."
s0033,TV Show,"Celebrity: Mini-série","Directeur Inconnu","Casting Inconnu","USA","2023-06-07",2023,"TV-14","1 Season","Drama, Comedy","Une mini-série explorant la vie et les coulisses du monde des célébrités."
s0034,Movie,"Sauve qui pécho !","Directeur Inconnu","Casting Inconnu","France","2023-08-01",2023,"PG-13","100 min","Comedy, Romance","Une comédie française sur les rencontres et les situations improbables."
s0035,TV Show,"Terrace House: Tokyo 2019-2020","Directeur Inconnu","Participants variés","Japon","2020-01-10",2019,"TV-14","3 Seasons","Reality, Drama","Une série de téléréalité montrant la vie quotidienne des jeunes adultes à Tokyo."
s0036,Movie,"Headspace : Libérez votre esprit","Directeur Inconnu","Casting Inconnu","USA","2021-04-15",2021,"PG","90 min","Documentary, Self-help","Un film inspirant sur la méditation et le bien-être mental."
s0037,Movie,"A Girl and A Guy_hook_02_16x9","Directeur Inconnu","Casting Inconnu","USA","2022-05-20",2022,"PG-13","85 min","Drama, Experimental","Un film expérimental au format 16x9 explorant les relations modernes."
s0038,Movie,"Maniac par Junji Ito","Junji Ito","Casting Inconnu","Japon","2020-10-31",2020,"R","110 min","Horror, Thriller","Un film d'horreur inspiré par les œuvres effrayantes de Junji Ito."
s0039,TV Show,"La Voie du tablier","Directeur Inconnu","Casting Inconnu","France","2021-09-10",2021,"TV-PG","1 Season","Cooking, Documentary","Une série explorant les coulisses et l'art culinaire à la française."
s0040,Movie,"Romantic Killer","Directeur Inconnu","Casting Inconnu","USA","2022-02-14",2022,"R","95 min","Comedy, Thriller","Une comédie noire où l'amour se mêle à l'inattendu dans une intrigue décalée."
